Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
Teb2lk2	Teb2lk2x	146	38	4
Tab2lk2	Uab2lk2	22	87	2
Tab2lk2	Tab2lk2x	22	34	3
Taj2lk2	Uaj2lk2	30	95	2
Taj2lk2	Taj2lk2x	30	26	1
Taj2hk2	Uaj2hk2	26	91	2
Taj2hk2	Taj2hk2x	26	158	2
Taj2ho2	Uaj2ho2	150	215	2
Taj2ho2	Taj2ho2x	150	162	3
Taj2hn2	Uaj2hn2	119	184	6
Taj2hn2	Taj2hn2x	119	225	4
Tqj2hn2	Uqj2hn2	103	168	6
Tqj2hn2	Tqj2hn2x	103	241	4
Tqj2hn0	Uqj2hn0	101	166	4
Tqj2hn0	Tqj2hn0x	101	179	5
Tqb2hn0	Uqb2hn0	93	158	4
Tqb2hn0	Tqb2hn0x	93	187	5
Vqb2hn0	Wqb2hn0	223	32	8
Vqb2hn0	Vqb2hn0x	223	121	4
vqb2hn0	wqb2hn0	255	64	7
vqb2hn0	vqb2hn0x	255	89	4
rqb2hn0	sqb2hn0	251	60	5
rqb2hn0	rqb2hn0x	251	221	3
rqb6hn0	sqb6hn0	119	184	6
rqb6hn0	rqb6hn0x	119	225	4
rqb6hf0	sqb6hf0	127	192	7
rqb6hf0	rqb6hf0x	127	217	4
Rqb6hf0	Sqb6hf0	95	160	8
Rqb6hf0	Rqb6hf0x	95	249	4
Zqb6hf0	Aqb6hf0	103	14	4
Zqb6hf0	Zqb6hf0x	103	241	4
Zqb4hf0	Aqb4hf0	169	80	6
Zqb4hf0	Zqb4hf0x	169	239	3
Xqb4hf0	Yqb4hf0	39	104	5
Xqb4hf0	Xqb4hf0x	39	49	3
Xqbthf0	Yqbthf0	231	40	6
Xqbthf0	Xqbthf0x	231	113	4
Xqbtjf0	Yqbtjf0	105	170	4
Xqbtjf0	Xqbtjf0x	105	47	3
Xqbthf0	Yqbthf0	231	40	6
Xqbthf0	Xqbthf0x	231	113	4
XqBthf0	YqBthf0	199	8	6
XqBthf0	XqBthf0x	199	145	4
XqBthf1	YqBthf1	200	9	3
XqBthf1	XqBthf1x	200	176	4
XqFthf1	YqFthf1	204	13	3
XqFthf1	XqFthf1x	204	44	3
XqFthv1	YqFthv1	188	253	2
XqFthv1	XqFthv1x	188	60	1
YqFthv1	ZqFthv1	253	62	4
YqFthv1	YqFthv1x	253	27	5
QqFthv1	RqFthv1	245	54	4
QqFthv1	QqFthv1x	245	35	5
QyFthv1	RyFthv1	237	46	4
QyFthv1	QyFthv1x	237	43	4
QyFphv1	RyFphv1	113	178	4
QyFphv1	QyFphv1x	113	39	4
QyFphv9	RyFphv9	121	186	4
QyFphv9	QyFphv9x	121	31	4
AyFphv9	ByFphv9	105	170	4
AyFphv9	AyFphv9x	105	47	3
IyFphv9	JyFphv9	113	178	4
IyFphv9	IyFphv9x	113	39	4
IyFphw9	JyFphw9	144	209	2
IyFphw9	IyFphw9x	144	232	4
