Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
kYrC9Qv	kYrC9Qvx	255	89	4
kYrC9Uv	lYrC9Uv	123	188	5
kYrC9Uv	kYrC9Uvx	123	93	3
kYrC1Uv	lYrC1Uv	115	180	5
kYrC1Uv	kYrC1Uvx	115	101	3
kYvC1Uv	lYvC1Uv	119	184	6
kYvC1Uv	kYvC1Uvx	119	225	4
kYvC1U6	lYvC1U6	55	120	5
kYvC1U6	kYvC1U6x	55	33	3
kYwC1U6	lYwC1U6	184	249	2
kYwC1U6	kYwC1U6x	184	192	4
kywC1U6	lywC1U6	152	217	2
kywC1U6	kywC1U6x	152	224	4
kywC1u6	lywC1u6	120	185	3
kywC1u6	kywC1u6x	120	0	4
k9wC1u6	l9wC1u6	184	249	2
k9wC1u6	k9wC1u6x	184	192	4
k9wB1u6	l9wB1u6	89	154	4
k9wB1u6	k9wB1u6x	89	63	4
k8wB1u6	l8wB1u6	186	251	2
k8wB1u6	k8wB1u6x	186	254	2
k8wB1q6	l8wB1q6	62	127	2
k8wB1q6	k8wB1q6x	62	250	3
o8wB1q6	p8wB1q6	66	131	3
o8wB1q6	o8wB1q6x	66	118	3
o8wB0q6	p8wB0q6	129	194	3
o8wB0q6	o8wB0q6x	129	23	4
o8wB0u6	p8wB0u6	253	62	4
o8wB0u6	o8wB0u6x	253	27	5
o8wJ0u6	p8wJ0u6	245	54	4
o8wJ0u6	o8wJ0u6x	245	35	5
o8wB0u6	p8wB0u6	253	62	4
o8wB0u6	o8wB0u6x	253	27	5
oxwB0u6	pxwB0u6	189	254	3
oxwB0u6	oxwB0u6x	189	91	5
oxwB0u2	pxwB0u2	185	250	3
oxwB0u2	oxwB0u2x	185	223	4
oxwb0u2	pxwb0u2	153	218	3
oxwb0u2	oxwb0u2x	153	255	4
ox7b0u2	px7b0u2	89	154	4
ox7b0u2	ox7b0u2x	89	63	4
ox3b0u2	px3b0u2	85	150	4
ox3b0u2	ox3b0u2x	85	195	4
ox3b0u3	px3b0u3	86	151	3
ox3b0u3	ox3b0u3x	86	226	4
ox3b8u3	px3b8u3	94	159	3
ox3b8u3	ox3b8u3x	94	218	2
kx3b8u3	lx3b8u3	90	155	3
kx3b8u3	kx3b8u3x	90	94	1
kx3f8u3	lx3f8u3	214	23	3
kx3f8u3	kx3f8u3x	214	98	4
kx3f8us	lx3f8us	22	87	2
kx3f8us	kx3f8usx	22	34	3
kx3b8us	lx3b8us	154	219	2
kx3b8us	kx3b8usx	154	30	2
kx3b8qs	lx3b8qs	30	95	2
kx3b8qs	kx3b8qsx	30	26	1
kx3b8qw	lx3b8qw	34	99	2
kx3b8qw	kx3b8qwx	34	150	4
kX3b8qw	lX3b8qw	66	131	3
kX3b8qw	kX3b8qwx	66	118	3
kX3b8uw	lX3b8uw	190	255	2
kX3b8uw	kX3b8uwx	190	122	3
kY3b8uw	lY3b8uw	93	158	4
kY3b8uw	kY3b8uwx	93	187	5
kYsb8uw	lYsb8uw	157	222	3
kYsb8uw	kYsb8uwx	157	123	5
kXsb8uw	lXsb8uw	254	63	3
kXsb8uw	kXsb8uwx	254	58	3
kXsb8u7	lXsb8u7	190	255	2
kXsb8u7	kXsb8u7x	190	122	3
kXsb8uw	lXsb8uw	254	63	3
kXsb8uw	kXsb8uwx	254	58	3
kXsb0uw	lXsb0uw	246	55	3
kXsb0uw	kXsb0uwx	246	66	4
kXrb0uw	lXrb0uw	117	182	4
kXrb0uw	kXrb0uwx	117	163	5
kXrr0uw	lXrr0uw	101	166	4
kXrr0uw	kXrr0uwx	101	179	5
kXrr0ug	lXrr0ug	85	150	4
kXrr0ug	kXrr0ugx	85	195	4
kXrr0tg	lXrr0tg	54	119	2
kXrr0tg	kXrr0tgx	54	2	3
kXrr0to	lXrr0to	62	127	2
kXrr0to	kXrr0tox	62	250	3
kXrr0tk	lXrr0tk	58	123	2
kXrr0tk	kXrr0tkx	58	126	2
kXrr0pk	lXrr0pk	190	255	2
kXrr0pk	kXrr0pkx	190	122	3
kXrR0pk	lXrR0pk	222	31	3
kXrR0pk	kXrR0pkx	222	90	2
kXrR0xk	lXrR0xk	214	23	3
kXrR0xk	kXrR0xkx	214	98	4
kXrR0pk	lXrR0pk	222	31	3
kXrR0pk	kXrR0pkx	222	90	2
kxrR0pk	lxrR0pk	190	255	2
kxrR0pk	kxrR0pkx	190	122	3
kxzR0pk	lxzR0pk	198	7	3
kxzR0pk	kxzR0pkx	198	114	4
kyzR0pk	lyzR0pk	101	166	4
kyzR0pk	kyzR0pkx	101	179	5
oyzR0pk	pyzR0pk	105	170	4
oyzR0pk	oyzR0pkx	105	47	3
oxzR0pk	pxzR0pk	202	11	3
oxzR0pk	oxzR0pkx	202	238	2
oxxR0pk	pxxR0pk	200	9	3
oxxR0pk	oxxR0pkx	200	176	4
oxxR0xk	pxxR0xk	192	1	3
oxxR0xk	oxxR0xkx	192	184	4
ozxR0xk	pzxR0xk	254	63	3
ozxR0xk	ozxR0xkx	254	58	3
ozxR0xc	pzxR0xc	246	55	3
ozxR0xc	ozxR0xcx	246	66	4
ozxR1xc	pzxR1xc	183	248	5
ozxR1xc	ozxR1xcx	183	161	3
mzxR1xc	nzxR1xc	53	118	3
mzxR1xc	mzxR1xcx	53	227	5
mrxR1xc	nrxR1xc	61	126	3
mrxR1xc	mrxR1xcx	61	219	5
mrxR1xg	nrxR1xg	65	130	4
mrxR1xg	mrxR1xgx	65	87	3
mrxR18g	nrxR18g	129	194	3
mrxR18g	mrxR18gx	129	23	4
mzxR18g	nzxR18g	121	186	4
mzxR18g	mzxR18gx	121	31	4
mzxR08g	nzxR08g	184	249	2
mzxR08g	mzxR08gx	184	192	4
mzxR28g	nzxR28g	58	123	2
mzxR28g	mzxR28gx	58	126	2
mzpR28g	nzpR28g	50	115	2
mzpR28g	mzpR28gx	50	134	4
ezpR28g	fzpR28g	42	107	2
ezpR28g	ezpR28gx	42	142	3
gzpR28g	hzpR28g	172	237	2
gzpR28g	gzpR28gx	172	76	3
gzrR28g	hzrR28g	174	239	2
gzrR28g	gzrR28gx	174	138	2
gZrR28g	hZrR28g	206	15	3
gZrR28g	gZrR28gx	206	106	3
gZsR28g	hZsR28g	79	144	7
gZsR28g	gZsR28gx	79	9	3
gZsR28c	hZsR28c	75	140	5
gZsR28c	gZsR28cx	75	141	4
eZsR28c	fZsR28c	201	10	4
eZsR28c	eZsR28cx	201	207	2
ezsR28c	fzsR28c	169	234	3
ezsR28c	ezsR28cx	169	239	3
ersR28c	frsR28c	177	242	3
ersR28c	ersR28cx	177	231	4
ersR2xc	frsR2xc	113	178	4
ersR2xc	ersR2xcx	113	39	4
ersR2xs	frsR2xs	129	194	3
ersR2xs	ersR2xsx	129	23	4
ersR6xs	frsR6xs	133	198	3
ersR6xs	ersR6xsx	133	147	3
ersR2xs	frsR2xs	129	194	3
ersR2xs	ersR2xsx	129	23	4
erwR2xs	frwR2xs	133	198	3
erwR2xs	erwR2xsx	133	147	3
mrwR2xs	nrwR2xs	141	206	3
mrwR2xs	mrwR2xsx	141	139	2
mrwR2xc	nrwR2xc	125	190	4
mrwR2xc	mrwR2xcx	125	155	5
mrwR2xg	nrwR2xg	129	194	3
mrwR2xg	mrwR2xgx	129	23	4
mvwR2xg	nvwR2xg	253	62	4
mvwR2xg	mvwR2xgx	253	27	5
mfwR2xg	nfwR2xg	13	78	3
mfwR2xg	mfwR2xgx	13	11	2
lfwR2xg	mfwR2xg	204	13	3
lfwR2xg	lfwR2xgx	204	44	3
lfwRrxg	mfwRrxg	12	77	2
lfwRrxg	lfwRrxgx	12	236	3
lfwRvxg	mfwRvxg	16	81	2
lfwRvxg	lfwRvxgx	16	104	4
lfWRvxg	mfWRvxg	240	49	3
lfWRvxg	lfWRvxgx	240	136	4
lvWRvxg	mvWRvxg	224	33	3
lvWRvxg	lvWRvxgx	224	152	4
lvWRv8g	mvWRv8g	32	97	2
lvWRv8g	lvWRv8gx	32	88	4
dvWRv8g	evWRv8g	24	89	2
dvWRv8g	dvWRv8gx	24	96	4
dvWRr8g	evWRr8g	20	85	2
dvWRr8g	dvWRr8gx	20	228	4
dvWRr8c	evWRr8c	16	81	2
dvWRr8c	dvWRr8cx	16	104	4
dvWZr8c	evWZr8c	8	73	2
dvWZr8c	dvWZr8cx	8	112	4
dvWZb8c	evWZb8c	248	57	3
dvWZb8c	dvWZb8cx	248	128	4
evWZb8c	fvWZb8c	57	122	3
evWZb8c	evWZb8cx	57	95	4
evSZb8c	fvSZb8c	53	118	3
evSZb8c	evSZb8cx	53	227	5
dvSZb8c	evSZb8c	244	53	3
dvSZb8c	dvSZb8cx	244	4	4
dvSJb8c	evSJb8c	4	69	2
dvSJb8c	dvSJb8cx	4	244	4
dvSJb8k	evSJb8k	12	77	2
dvSJb8k	dvSJb8kx	12	236	3
dvSJbxk	evSJbxk	204	13	3
dvSJbxk	dvSJbxkx	204	44	3
dvSJbxo	evSJbxo	208	17	3
dvSJbxo	dvSJbxox	208	168	4
dvSJbxg	evSJbxg	200	9	3
dvSJbxg	dvSJbxgx	200	176	4
dvSKbxg	evSKbxg	39	104	5
dvSKbxg	dvSKbxgx	39	49	3
dvSKb8g	evSKb8g	103	168	6
dvSKb8g	dvSKb8gx	103	241	4
dvSKB8g	evSKB8g	71	136	6
dvSKB8g	dvSKB8gx	71	17	4
drSKB8g	erSKB8g	203	12	5
drSKB8g	drSKB8gx	203	13	4
drSCB8g	erSCB8g	211	20	5
drSCB8g	drSCB8gx	211	5	5
drSCC8g	erSCC8g	148	213	2
drSCC8g	drSCC8gx	148	100	4
lrSCC8g	mrSCC8g	156	221	2
lrSCC8g	lrSCC8gx	156	92	2
lrSCCxg	mrSCCxg	92	157	3
lrSCCxg	lrSCCxgx	92	156	2
mrSCCxg	nrSCCxg	157	222	3
mrSCCxg	mrSCCxgx	157	123	5
mbSCCxg	nbSCCxg	173	238	3
mbSCCxg	mbSCCxgx	173	107	4
mbSCSxg	nbSCSxg	189	254	3
mbSCSxg	mbSCSxgx	189	91	5
mbSCSxo	nbSCSxo	197	6	4
mbSCSxo	mbSCSxox	197	83	4
mbCCSxo	nbCCSxo	181	246	3
mbCCSxo	mbCCSxox	181	99	5
mbCcSxo	nbCcSxo	149	214	3
mbCcSxo	mbCcSxox	149	131	3
mbccSxo	nbccSxo	181	246	3
mbccSxo	mbccSxox	181	99	5
MbccSxo	NbccSxo	149	214	3
MbccSxo	MbccSxox	149	131	3
MbccWxo	NbccWxo	153	218	3
MbccWxo	MbccWxox	153	255	4
MbccWyo	NbccWyo	184	249	2
MbccWyo	MbccWyox	184	192	4
MbkcWyo	NbkcWyo	192	1	3
MbkcWyo	MbkcWyox	192	184	4
ObkcWyo	PbkcWyo	66	131	3
ObkcWyo	ObkcWyox	66	118	3
ObocWyo	PbocWyo	70	135	3
ObocWyo	ObocWyox	70	242	4
ObocWxo	PbocWxo	39	104	5
ObocWxo	ObocWxox	39	49	3
ObOcWxo	PbOcWxo	7	72	5
ObOcWxo	ObOcWxox	7	81	4
ObocWxo	PbocWxo	39	104	5
ObocWxo	ObocWxox	39	49	3
ObocWxg	PbocWxg	31	96	7
ObocWxg	ObocWxgx	31	57	3
ObocWxe	PbocWxe	29	94	3
ObocWxe	ObocWxex	29	251	5
ObocVxe	PbocVxe	92	157	3
ObocVxe	ObocVxex	92	156	2
OjocVxe	PjocVxe	84	149	3
OjocVxe	OjocVxex	84	164	4
OjocVxm	PjocVxm	92	157	3
OjocVxm	OjocVxmx	92	156	2
OjocVxi	PjocVxi	88	153	3
OjocVxi	OjocVxix	88	32	4
OjoCVxi	PjoCVxi	120	185	3
OjoCVxi	OjoCVxix	120	0	4
OjoCFxi	PjoCFxi	104	169	3
OjoCFxi	OjoCFxix	104	16	4
OjoGFxi	PjoGFxi	228	37	3
OjoGFxi	OjoGFxix	228	20	4
OhoGFxi	PhoGFxi	166	231	2
OhoGFxi	OhoGFxix	166	146	3
OhoGNxi	PhoGNxi	174	239	2
OhoGNxi	OhoGNxix	174	138	2
OhoGNzi	PhoGNzi	236	45	3
OhoGNzi	OhoGNzix	236	12	3
OhoGNji	PhoGNji	252	61	3
OhoGNji	OhoGNjix	252	252	0
OhoGNjm	PhoGNjm	0	65	2
OhoGNjm	OhoGNjmx	0	120	4
OhoGFjm	PhoGFjm	248	57	3
OhoGFjm	OhoGFjmx	248	128	4
OioGFjm	PioGFjm	151	216	5
OioGFjm	OioGFjmx	151	193	4
OiOGFjm	PiOGFjm	119	184	6
OiOGFjm	OiOGFjmx	119	225	4
GiOGFjm	HiOGFjm	111	176	7
GiOGFjm	GiOGFjmx	111	233	3
GiOGGjm	HiOGGjm	48	113	2
GiOGGjm	GiOGGjmx	48	72	4
GiOGGjo	HiOGGjo	50	115	2
GiOGGjo	GiOGGjox	50	134	4
GmOGGjo	HmOGGjo	174	239	2
GmOGGjo	GmOGGjox	174	138	2
GmOEGjo	HmOEGjo	240	49	3
GmOEGjo	GmOEGjox	240	136	4
GoOEGjo	HoOEGjo	46	111	2
GoOEGjo	GoOEGjox	46	10	2
GoMEGjo	HoMEGjo	44	109	2
GoMEGjo	GoMEGjox	44	204	3
GoMEGjg	HoMEGjg	36	101	2
GoMEGjg	GoMEGjgx	36	212	4
GgMEGjg	HgMEGjg	44	109	2
GgMEGjg	GgMEGjgx	44	204	3
GgMEGJg	HgMEGJg	76	141	3
GgMEGJg	GgMEGJgx	76	172	3
GgMEGKg	HgMEGKg	107	172	5
GgMEGKg	GgMEGKgx	107	109	2
ggMEGKg	hgMEGKg	139	204	4
ggMEGKg	ggMEGKgx	139	77	4
ggIEGKg	hgIEGKg	135	200	5
ggIEGKg	ggIEGKgx	135	209	4
ggIUGKg	hgIUGKg	119	184	6
ggIUGKg	ggIUGKgx	119	225	4
gfIUGKg	hfIUGKg	216	25	3
gfIUGKg	gfIUGKgx	216	160	4
gfIuGKg	hfIuGKg	184	249	2
gfIuGKg	gfIuGKgx	184	192	4
gFIuGKg	hFIuGKg	216	25	3
gFIuGKg	gFIuGKgx	216	160	4
gFIqGKg	hFIqGKg	92	157	3
gFIqGKg	gFIqGKgx	92	156	2
gFIqGIg	hFIqGIg	30	95	2
gFIqGIg	gFIqGIgx	30	26	1
gFIqGIc	hFIqGIc	26	91	2
gFIqGIc	gFIqGIcx	26	158	2
fFIqGIc	gFIqGIc	217	26	4
fFIqGIc	fFIqGIcx	217	191	4
fBIqGIc	gBIqGIc	93	158	4
fBIqGIc	fBIqGIcx	93	187	5
FBIqGIc	GBIqGIc	61	126	3
FBIqGIc	FBIqGIcx	61	219	5
FBIqGAc	GBIqGAc	69	134	4
FBIqGAc	FBIqGAcx	69	211	4
FBIqGAg	GBIqGAg	73	138	4
FBIqGAg	FBIqGAgx	73	79	2
FBIqGAG	GBIqGAG	41	106	3
FBIqGAG	FBIqGAGx	41	111	3
FBIqGCG	GBIqGCG	103	168	6
FBIqGCG	FBIqGCGx	103	241	4
FBIqGCF	GBIqGCF	102	167	3
FBIqGCF	FBIqGCFx	102	210	4
FBIqFCF	GBIqFCF	165	230	3
FBIqFCF	FBIqFCFx	165	115	5
FBiqFCF	GBiqFCF	197	6	4
FBiqFCF	FBiqFCFx	197	83	4
FBiqFGF	GBiqFGF	65	130	4
FBiqFGF	FBiqFGFx	65	87	3
GBiqFGF	HBiqFGF	130	195	2
GBiqFGF	GBiqFGFx	130	54	4
GBiqNGF	HBiqNGF	138	203	2
GBiqNGF	GBiqNGFx	138	46	3
CBiqNGF	DBiqNGF	134	199	2
CBiqNGF	CBiqNGFx	134	178	3
CBiqNFF	DBiqNFF	103	168	6
CBiqNFF	CBiqNFFx	103	241	4
CBiqNVF	DBiqNVF	87	152	6
CBiqNVF	CBiqNVFx	87	1	4
CBiqNVD	DBiqNVD	85	150	4
CBiqNVD	CBiqNVDx	85	195	4
CBipNVD	DBipNVD	246	55	3
CBipNVD	CBipNVDx	246	66	4
CBipNVd	DBipNVd	22	87	2
CBipNVd	CBipNVdx	22	34	3
CBipnVd	DBipnVd	54	119	2
CBipnVd	CBipnVdx	54	2	3
CBipnRd	DBipnRd	186	251	2
CBipnRd	CBipnRdx	186	254	2
CBipnSd	DBipnSd	217	26	4
CBipnSd	CBipnSdx	217	191	4
CBiPnSd	DBiPnSd	249	58	4
CBiPnSd	CBiPnSdx	249	159	4
CBiPnSl	DBiPnSl	1	66	3
CBiPnSl	CBiPnSlx	1	151	4
CBiPnWl	DBiPnWl	125	190	4
CBiPnWl	CBiPnWlx	125	155	5
CBIPnWl	DBIPnWl	93	158	4
CBIPnWl	CBIPnWlx	93	187	5
CBIPnWn	DBIPnWn	95	160	8
CBIPnWn	CBIPnWnx	95	249	4
CBIPnWl	DBIPnWl	93	158	4
CBIPnWl	CBIPnWlx	93	187	5
CBMPnWl	DBMPnWl	97	162	4
CBMPnWl	CBMPnWlx	97	55	4
CBMPnVl	DBMPnVl	66	131	3
CBMPnVl	CBMPnVlx	66	118	3
CBMPlVl	DBMPlVl	192	1	3
CBMPlVl	CBMPlVlx	192	184	4
CBOPlVl	DBOPlVl	194	3	3
CBOPlVl	CBOPlVlx	194	246	3
CBoPlVl	DBoPlVl	226	35	3
CBoPlVl	CBoPlVlx	226	214	3
CBoPlVd	DBoPlVd	218	27	3
CBoPlVd	CBoPlVdx	218	222	1
CBoPnVd	DBoPnVd	92	157	3
CBoPnVd	CBoPnVdx	92	156	2
CBoPnvd	DBoPnvd	60	125	2
CBoPnvd	CBoPnvdx	60	188	1
KBoPnvd	LBoPnvd	68	133	3
KBoPnvd	KBoPnvdx	68	180	4
KFoPnvd	LFoPnvd	192	1	3
KFoPnvd	KFoPnvdx	192	184	4
KFoPnVd	LFoPnVd	224	33	3
KFoPnVd	KFoPnVdx	224	152	4
CFoPnVd	DFoPnVd	216	25	3
CFoPnVd	CFoPnVdx	216	160	4
CFgPnVd	DFgPnVd	208	17	3
CFgPnVd	CFgPnVdx	208	168	4
CFfPnVd	DFfPnVd	79	144	7
CFfPnVd	CFfPnVdx	79	9	3
CFfPnTd	DFfPnTd	17	82	3
CFfPnTd	CFfPnTdx	17	135	4
CNfPnTd	DNfPnTd	9	74	3
CNfPnTd	CNfPnTdx	9	143	3
CNfPnPd	DNfPnPd	141	206	3
CNfPnPd	CNfPnPdx	141	139	2
CLfPnPd	DLfPnPd	79	144	7
CLfPnPd	CLfPnPdx	79	9	3
CLfPnpd	DLfPnpd	47	112	6
CLfPnpd	CLfPnpdx	47	41	2
KLfPnpd	LLfPnpd	55	120	5
KLfPnpd	KLfPnpdx	55	33	3
KMfPnpd	LMfPnpd	214	23	3
KMfPnpd	KMfPnpdx	214	98	4
KMfQnpd	LMfQnpd	53	118	3
KMfQnpd	KMfQnpdx	53	227	5
KMvQnpd	LMvQnpd	69	134	4
KMvQnpd	KMvQnpdx	69	211	4
KMrQnpd	LMrQnpd	65	130	4
KMrQnpd	KMrQnpdx	65	87	3
KOrQnpd	LOrQnpd	127	192	7
KOrQnpd	KOrQnpdx	127	217	4
KGrQnpd	LGrQnpd	135	200	5
KGrQnpd	KGrQnpdx	135	209	4
KGrQnrd	LGrQnrd	197	6	4
KGrQnrd	KGrQnrdx	197	83	4
KGrYnrd	LGrYnrd	189	254	3
KGrYnrd	KGrYnrdx	189	91	5
KGzYnrd	LGzYnrd	197	6	4
KGzYnrd	KGzYnrdx	197	83	4
KGzYnrl	LGzYnrl	205	14	4
KGzYnrl	KGzYnrlx	205	75	3
KGzYnrh	LGzYnrh	201	10	4
KGzYnrh	KGzYnrhx	201	207	2
OGzYnrh	PGzYnrh	205	14	4
OGzYnrh	OGzYnrhx	205	75	3
OGzYlrh	PGzYlrh	75	140	5
OGzYlrh	OGzYlrhx	75	141	4
OGzYlbh	PGzYlbh	91	156	5
OGzYlbh	OGzYlbhx	91	125	3
OGzYLbh	PGzYLbh	59	124	4
OGzYLbh	OGzYLbhx	59	157	4
OGzYLBh	PGzYLBh	91	156	5
OGzYLBh	OGzYLBhx	91	125	3
OGrYLBh	PGrYLBh	83	148	5
OGrYLBh	OGrYLBhx	83	133	5
OWrYLBh	PWrYLBh	67	132	5
OWrYLBh	OWrYLBhx	67	149	5
OWrILBh	PWrILBh	83	148	5
OWrILBh	OWrILBhx	83	133	5
OWrIMBh	PWrIMBh	20	85	2
OWrIMBh	OWrIMBhx	20	228	4
OSrIMBh	PSrIMBh	152	217	2
OSrIMBh	OSrIMBhx	152	224	4
OQrIMBh	PQrIMBh	90	155	3
OQrIMBh	OQrIMBhx	90	94	1
MQrIMBh	NQrIMBh	216	25	3
MQrIMBh	MQrIMBhx	216	160	4
LQrIMBh	MQrIMBh	151	216	5
LQrIMBh	LQrIMBhx	151	193	4
LQrIMBl	MQrIMBl	155	220	4
LQrIMBl	LQrIMBlx	155	61	4
LQrIMFl	MQrIMFl	23	88	5
LQrIMFl	LQrIMFlx	23	65	4
LQrIMFL	MQrIMFL	247	56	6
LQrIMFL	LQrIMFLx	247	97	4
LQrImFL	MQrImFL	23	88	5
LQrImFL	LQrImFLx	23	65	4
LQrIlFL	MQrIlFL	86	151	3
LQrIlFL	LQrIlFLx	86	226	4
LQrILFL	MQrILFL	54	119	2
LQrILFL	LQrILFLx	54	2	3
LqrILFL	MqrILFL	22	87	2
LqrILFL	LqrILFLx	22	34	3
LsrILFL	MsrILFL	84	149	3
LsrILFL	LsrILFLx	84	164	4
LsrILNL	MsrILNL	76	141	3
LsrILNL	LsrILNLx	76	172	3
DsrILNL	EsrILNL	68	133	3
DsrILNL	DsrILNLx	68	180	4
Ds2ILNL	Es2ILNL	4	69	2
Ds2ILNL	Ds2ILNLx	4	244	4
Ds2ILLL	Es2ILLL	198	7	3
Ds2ILLL	Ds2ILLLx	198	114	4
Ds2ILLM	Es2ILLM	199	8	6
Ds2ILLM	Ds2ILLMx	199	145	4
Ds2ILLE	Es2ILLE	191	0	7
Ds2ILLE	Ds2ILLEx	191	153	3
Dw2ILLE	Ew2ILLE	59	124	4
Dw2ILLE	Dw2ILLEx	59	157	4
DW2ILLE	EW2ILLE	91	156	5
DW2ILLE	DW2ILLEx	91	125	3
DW2YLLE	EW2YLLE	75	140	5
DW2YLLE	DW2YLLEx	75	141	4
DW2YLNE	EW2YLNE	137	202	3
DW2YLNE	DW2YLNEx	137	15	3
DG2YLNE	EG2YLNE	153	218	3
DG2YLNE	DG2YLNEx	153	255	4
dG2YLNE	eG2YLNE	185	250	3
dG2YLNE	dG2YLNEx	185	223	4
dG0YLNE	eG0YLNE	183	248	5
dG0YLNE	dG0YLNEx	183	161	3
dG0YlNE	eG0YlNE	215	24	6
dG0YlNE	dG0YlNEx	215	129	4
dGpYlNE	eGpYlNE	23	88	5
dGpYlNE	dGpYlNEx	23	65	4
dFpYlNE	eFpYlNE	120	185	3
dFpYlNE	dFpYlNEx	120	0	4
dFpYLNE	eFpYLNE	88	153	3
dFpYLNE	dFpYLNEx	88	32	4
dVpYLNE	eVpYLNE	72	137	3
dVpYLNE	dVpYLNEx	72	48	4
DVpYLNE	EVpYLNE	40	105	2
DVpYLNE	DVpYLNEx	40	80	4
LVpYLNE	MVpYLNE	48	113	2
LVpYLNE	LVpYLNEx	48	72	4
LTpYLNE	MTpYLNE	242	51	3
LTpYLNE	LTpYLNEx	242	198	3
LTpXLNE	MTpXLNE	147	212	4
LTpXLNE	LTpXLNEx	147	69	5
lTpXLNE	mTpXLNE	179	244	4
lTpXLNE	lTpXLNEx	179	37	4
lTpXHNE	mTpXHNE	175	240	6
lTpXHNE	lTpXHNEx	175	169	2
lTpXXNE	mTpXXNE	191	0	7
lTpXXNE	lTpXXNEx	191	153	3
lTpYXNE	mTpYXNE	30	95	2
lTpYXNE	lTpYXNEx	30	26	1
lTpYxNE	mTpYxNE	62	127	2
lTpYxNE	lTpYxNEx	62	250	3
lTpYxLE	mTpYxLE	0	65	2
lTpYxLE	lTpYxLEx	0	120	4
dTpYxLE	eTpYxLE	248	57	3
dTpYxLE	dTpYxLEx	248	128	4
dTpYxLU	eTpYxLU	8	73	2
dTpYxLU	dTpYxLUx	8	112	4
dTpYxLW	eTpYxLW	10	75	2
dTpYxLW	dTpYxLWx	10	174	3
dTpYxLU	eTpYxLU	8	73	2
dTpYxLU	dTpYxLUx	8	112	4
dTpYxMU	eTpYxMU	39	104	5
dTpYxMU	dTpYxMUx	39	49	3
dTpyxMU	eTpyxMU	7	72	5
dTpyxMU	dTpyxMUx	7	81	4
dTpypMU	eTpypMU	255	64	7
dTpypMU	dTpypMUx	255	89	4
eTpypMU	fTpypMU	64	129	3
eTpypMU	eTpypMUx	64	56	4
eTrypMU	fTrypMU	66	131	3
eTrypMU	eTrypMUx	66	118	3
eT2ypMU	fT2ypMU	2	67	2
eT2ypMU	eT2ypMUx	2	182	4
eT2ypEU	fT2ypEU	10	75	2
eT2ypEU	eT2ypEUx	10	174	3
eT2ypMU	fT2ypMU	2	67	2
eT2ypMU	eT2ypMUx	2	182	4
gT2ypMU	hT2ypMU	132	197	2
gT2ypMU	gT2ypMUx	132	116	4
gT2yqMU	hT2yqMU	69	134	4
gT2yqMU	gT2yqMUx	69	211	4
gT3yqMU	hT3yqMU	198	7	3
gT3yqMU	gT3yqMUx	198	114	4
gT3yqMT	hT3yqMT	197	6	4
gT3yqMT	gT3yqMTx	197	83	4
gT3ypMT	hT3ypMT	4	69	2
gT3ypMT	gT3ypMTx	4	244	4
gT2ypMT	hT2ypMT	131	196	4
gT2ypMT	gT2ypMTx	131	85	5
gT2ypMD	hT2ypMD	115	180	5
gT2ypMD	gT2ypMDx	115	101	3
gT2ypmD	hT2ypmD	83	148	5
gT2ypmD	gT2ypmDx	83	133	5
oT2ypmD	pT2ypmD	91	156	5
oT2ypmD	oT2ypmDx	91	125	3
oT0ypmD	pT0ypmD	89	154	4
oT0ypmD	oT0ypmDx	89	63	4
gT0ypmD	hT0ypmD	81	146	4
gT0ypmD	gT0ypmDx	81	71	3
gT0xpmD	hT0xpmD	242	51	3
gT0xpmD	gT0xpmDx	242	198	3
gT0xPmD	hT0xPmD	210	19	3
gT0xPmD	gT0xPmDx	210	230	3
gt0xPmD	ht0xPmD	178	243	2
gt0xPmD	gt0xPmDx	178	6	4
gt2xPmD	ht2xPmD	180	245	2
gt2xPmD	gt2xPmDx	180	68	4
gt3xPmD	ht3xPmD	53	118	3
gt3xPmD	gt3xPmDx	53	227	5
gt3xPmL	ht3xPmL	61	126	3
gt3xPmL	gt3xPmLx	61	219	5
gt2xPmL	ht2xPmL	188	253	2
gt2xPmL	gt2xPmLx	188	60	1
gt3xPmL	ht3xPmL	61	126	3
gt3xPmL	gt3xPmLx	61	219	5
gt1xPmL	ht1xPmL	59	124	4
gt1xPmL	gt1xPmLx	59	157	4
gt1pPmL	ht1pPmL	67	132	5
gt1pPmL	gt1pPmLx	67	149	5
gt1pXmL	ht1pXmL	75	140	5
gt1pXmL	gt1pXmLx	75	141	4
gt1tXmL	ht1tXmL	199	8	6
gt1tXmL	gt1tXmLx	199	145	4
gt1tHmL	ht1tHmL	183	248	5
gt1tHmL	gt1tHmLx	183	161	3
gt1tHmD	ht1tHmD	175	240	6
gt1tHmD	gt1tHmDx	175	169	2
gt1pHmD	ht1pHmD	51	116	4
gt1pHmD	gt1pHmDx	51	165	4
gt10HmD	ht10HmD	115	180	5
gt10HmD	gt10HmDx	115	101	3
gt30HmD	ht30HmD	117	182	4
gt30HmD	gt30HmDx	117	163	5
gt30XmD	ht30XmD	133	198	3
gt30XmD	gt30XmDx	133	147	3
gt30XlD	ht30XlD	102	167	3
gt30XlD	gt30XlDx	102	210	4
gt30XlF	ht30XlF	104	169	3
gt30XlF	gt30XlFx	104	16	4
gts0XlF	hts0XlF	168	233	2
